"","DataItemLong","County","State","year","OrchardAc","StateFips","CountyCode","StateCountyFips"
"1589.1992","Land in orchards, total (acres)","POLK COUNTY"," MO","1992",28,"29","167","29167"
"1590.1992","Land in orchards, total (acres)","PULASKI COUNTY"," MO","1992",13,"29","169","29169"
"1591.1992","Land in orchards, total (acres)","PUTNAM COUNTY"," MO","1992",-9999,"29","171","29171"
"1592.1992","Land in orchards, total (acres)","RALLS COUNTY"," MO","1992",-9999,"29","173","29173"
"1593.1992","Land in orchards, total (acres)","RANDOLPH COUNTY"," MO","1992",64,"29","175","29175"
"1594.1992","Land in orchards, total (acres)","RAY COUNTY"," MO","1992",100,"29","177","29177"
"1595.1992","Land in orchards, total (acres)","REYNOLDS COUNTY"," MO","1992",24,"29","179","29179"
"1596.1992","Land in orchards, total (acres)","RIPLEY COUNTY"," MO","1992",19,"29","181","29181"
"1597.1992","Land in orchards, total (acres)","ST CHARLES COUNTY"," MO","1992",196,"29","183","29183"
"1598.1992","Land in orchards, total (acres)","ST CLAIR COUNTY"," MO","1992",179,"29","185","29185"
"1599.1992","Land in orchards, total (acres)","STE GENEVIEVE COUNTY"," MO","1992",18,"29","186","29186"
"1600.1992","Land in orchards, total (acres)","ST FRANCOIS COUNTY"," MO","1992",156,"29","187","29187"
"1601.1992","Land in orchards, total (acres)","ST LOUIS COUNTY"," MO","1992",47,"29","189","29189"
"1602.1992","Land in orchards, total (acres)","SALINE COUNTY"," MO","1992",49,"29","195","29195"
"1603.1992","Land in orchards, total (acres)","SCHUYLER COUNTY"," MO","1992",-9999,"29","197","29197"
"1604.1992","Land in orchards, total (acres)","SCOTLAND COUNTY"," MO","1992",-9999,"29","199","29199"
"1605.1992","Land in orchards, total (acres)","SCOTT COUNTY"," MO","1992",-9999,"29","201","29201"
"1606.1992","Land in orchards, total (acres)","SHANNON COUNTY"," MO","1992",10,"29","203","29203"
"1607.1992","Land in orchards, total (acres)","SHELBY COUNTY"," MO","1992",-9999,"29","205","29205"
"1608.1992","Land in orchards, total (acres)","STODDARD COUNTY"," MO","1992",117,"29","207","29207"
"1609.1992","Land in orchards, total (acres)","STONE COUNTY"," MO","1992",33,"29","209","29209"
"1610.1992","Land in orchards, total (acres)","SULLIVAN COUNTY"," MO","1992",-9999,"29","211","29211"
"1611.1992","Land in orchards, total (acres)","TANEY COUNTY"," MO","1992",-9999,"29","213","29213"
"1612.1992","Land in orchards, total (acres)","TEXAS COUNTY"," MO","1992",32,"29","215","29215"
"1613.1992","Land in orchards, total (acres)","VERNON COUNTY"," MO","1992",1911,"29","217","29217"
"1614.1992","Land in orchards, total (acres)","WARREN COUNTY"," MO","1992",173,"29","219","29219"
"1615.1992","Land in orchards, total (acres)","WASHINGTON COUNTY"," MO","1992",-9999,"29","221","29221"
"1616.1992","Land in orchards, total (acres)","WAYNE COUNTY"," MO","1992",-9999,"29","223","29223"
"1617.1992","Land in orchards, total (acres)","WEBSTER COUNTY"," MO","1992",26,"29","225","29225"
"1618.1992","Land in orchards, total (acres)","WORTH COUNTY"," MO","1992",-9999,"29","227","29227"
"1619.1992","Land in orchards, total (acres)","WRIGHT COUNTY"," MO","1992",142,"29","229","29229"
"1620.1992","Land in orchards, total (acres)","ALL OTHER COUNTIES"," MO","1992",-9999,"29","998","29998"
"1622.1992","Land in orchards, total (acres)","BEAVERHEAD COUNTY"," MT","1992",-9999,"30","001","30001"
"1623.1992","Land in orchards, total (acres)","BIG HORN COUNTY"," MT","1992",-9999,"30","003","30003"
"1624.1992","Land in orchards, total (acres)","BLAINE COUNTY"," MT","1992",-9999,"30","005","30005"
"1625.1992","Land in orchards, total (acres)","BROADWATER COUNTY"," MT","1992",-9999,"30","007","30007"
"1626.1992","Land in orchards, total (acres)","CARBON COUNTY"," MT","1992",15,"30","009","30009"
"1627.1992","Land in orchards, total (acres)","CARTER COUNTY"," MT","1992",-9999,"30","011","30011"
"1628.1992","Land in orchards, total (acres)","CASCADE COUNTY"," MT","1992",-9999,"30","013","30013"
"1629.1992","Land in orchards, total (acres)","CHOUTEAU COUNTY"," MT","1992",-9999,"30","015","30015"
"1630.1992","Land in orchards, total (acres)","CUSTER COUNTY"," MT","1992",-9999,"30","017","30017"
"1631.1992","Land in orchards, total (acres)","DANIELS COUNTY"," MT","1992",-9999,"30","019","30019"
"1632.1992","Land in orchards, total (acres)","DAWSON COUNTY"," MT","1992",-9999,"30","021","30021"
"1633.1992","Land in orchards, total (acres)","DEER LODGE COUNTY"," MT","1992",-9999,"30","023","30023"
"1634.1992","Land in orchards, total (acres)","FALLON COUNTY"," MT","1992",-9999,"30","025","30025"
"1635.1992","Land in orchards, total (acres)","FERGUS COUNTY"," MT","1992",-9999,"30","027","30027"
"1636.1992","Land in orchards, total (acres)","FLATHEAD COUNTY"," MT","1992",59,"30","029","30029"
"1637.1992","Land in orchards, total (acres)","GALLATIN COUNTY"," MT","1992",-9999,"30","031","30031"
"1638.1992","Land in orchards, total (acres)","GARFIELD COUNTY"," MT","1992",-9999,"30","033","30033"
"1639.1992","Land in orchards, total (acres)","GLACIER COUNTY"," MT","1992",-9999,"30","035","30035"
"1640.1992","Land in orchards, total (acres)","GOLDEN VALLEY COUNTY"," MT","1992",-9999,"30","037","30037"
"1641.1992","Land in orchards, total (acres)","GRANITE COUNTY"," MT","1992",-9999,"30","039","30039"
"1642.1992","Land in orchards, total (acres)","HILL COUNTY"," MT","1992",-9999,"30","041","30041"
"1643.1992","Land in orchards, total (acres)","JEFFERSON COUNTY"," MT","1992",-9999,"30","043","30043"
"1644.1992","Land in orchards, total (acres)","JUDITH BASIN COUNTY"," MT","1992",-9999,"30","045","30045"
"1645.1992","Land in orchards, total (acres)","LAKE COUNTY"," MT","1992",982,"30","047","30047"
"1646.1992","Land in orchards, total (acres)","LEWIS AND CLARK COUNTY"," MT","1992",-9999,"30","049","30049"
"1647.1992","Land in orchards, total (acres)","LIBERTY COUNTY"," MT","1992",-9999,"30","051","30051"
"1648.1992","Land in orchards, total (acres)","LINCOLN COUNTY"," MT","1992",27,"30","053","30053"
"1649.1992","Land in orchards, total (acres)","MCCONE COUNTY"," MT","1992",-9999,"30","055","30055"
"1650.1992","Land in orchards, total (acres)","MADISON COUNTY"," MT","1992",-9999,"30","057","30057"
"1651.1992","Land in orchards, total (acres)","MEAGHER COUNTY"," MT","1992",-9999,"30","059","30059"
"1652.1992","Land in orchards, total (acres)","MINERAL COUNTY"," MT","1992",-9999,"30","061","30061"
"1653.1992","Land in orchards, total (acres)","MISSOULA COUNTY"," MT","1992",12,"30","063","30063"
"1654.1992","Land in orchards, total (acres)","MUSSELSHELL COUNTY"," MT","1992",-9999,"30","065","30065"
"1655.1992","Land in orchards, total (acres)","PARK COUNTY"," MT","1992",-9999,"30","067","30067"
"1656.1992","Land in orchards, total (acres)","PETROLEUM COUNTY"," MT","1992",-9999,"30","069","30069"
"1657.1992","Land in orchards, total (acres)","PHILLIPS COUNTY"," MT","1992",-9999,"30","071","30071"
"1658.1992","Land in orchards, total (acres)","PONDERA COUNTY"," MT","1992",-9999,"30","073","30073"
"1659.1992","Land in orchards, total (acres)","POWDER RIVER COUNTY"," MT","1992",-9999,"30","075","30075"
"1660.1992","Land in orchards, total (acres)","POWELL COUNTY"," MT","1992",-9999,"30","077","30077"
"1661.1992","Land in orchards, total (acres)","PRAIRIE COUNTY"," MT","1992",-9999,"30","079","30079"
"1662.1992","Land in orchards, total (acres)","RAVALLI COUNTY"," MT","1992",276,"30","081","30081"
"1663.1992","Land in orchards, total (acres)","RICHLAND COUNTY"," MT","1992",-9999,"30","083","30083"
"1664.1992","Land in orchards, total (acres)","ROOSEVELT COUNTY"," MT","1992",-9999,"30","085","30085"
"1665.1992","Land in orchards, total (acres)","ROSEBUD COUNTY"," MT","1992",-9999,"30","087","30087"
"1666.1992","Land in orchards, total (acres)","SANDERS COUNTY"," MT","1992",28,"30","089","30089"
"1667.1992","Land in orchards, total (acres)","SHERIDAN COUNTY"," MT","1992",-9999,"30","091","30091"
"1668.1992","Land in orchards, total (acres)","SILVER BOW COUNTY"," MT","1992",-9999,"30","093","30093"
"1669.1992","Land in orchards, total (acres)","STILLWATER COUNTY"," MT","1992",-9999,"30","095","30095"
"1670.1992","Land in orchards, total (acres)","SWEET GRASS COUNTY"," MT","1992",-9999,"30","097","30097"
"1671.1992","Land in orchards, total (acres)","TETON COUNTY"," MT","1992",-9999,"30","099","30099"
"1672.1992","Land in orchards, total (acres)","TOOLE COUNTY"," MT","1992",-9999,"30","101","30101"
"1673.1992","Land in orchards, total (acres)","TREASURE COUNTY"," MT","1992",-9999,"30","103","30103"
"1674.1992","Land in orchards, total (acres)","VALLEY COUNTY"," MT","1992",-9999,"30","105","30105"
"1675.1992","Land in orchards, total (acres)","WHEATLAND COUNTY"," MT","1992",-9999,"30","107","30107"
"1676.1992","Land in orchards, total (acres)","WIBAUX COUNTY"," MT","1992",-9999,"30","109","30109"
"1677.1992","Land in orchards, total (acres)","YELLOWSTONE COUNTY"," MT","1992",-9999,"30","111","30111"
"1678.1992","Land in orchards, total (acres)","ALL OTHER COUNTIES"," MT","1992",-9999,"30","998","30998"
"1680.1992","Land in orchards, total (acres)","ADAMS COUNTY"," NE","1992",-9999,"31","001","31001"
"1681.1992","Land in orchards, total (acres)","ANTELOPE COUNTY"," NE","1992",-9999,"31","003","31003"
"1682.1992","Land in orchards, total (acres)","ARTHUR COUNTY"," NE","1992",-9999,"31","005","31005"
"1683.1992","Land in orchards, total (acres)","BANNER COUNTY"," NE","1992",-9999,"31","007","31007"
"1684.1992","Land in orchards, total (acres)","BLAINE COUNTY"," NE","1992",-9999,"31","009","31009"
"1685.1992","Land in orchards, total (acres)","BOONE COUNTY"," NE","1992",-9999,"31","011","31011"
"1686.1992","Land in orchards, total (acres)","BOX BUTTE COUNTY"," NE","1992",-9999,"31","013","31013"
"1687.1992","Land in orchards, total (acres)","BOYD COUNTY"," NE","1992",-9999,"31","015","31015"
"1688.1992","Land in orchards, total (acres)","BROWN COUNTY"," NE","1992",-9999,"31","017","31017"
"1689.1992","Land in orchards, total (acres)","BUFFALO COUNTY"," NE","1992",-9999,"31","019","31019"
"1690.1992","Land in orchards, total (acres)","BURT COUNTY"," NE","1992",-9999,"31","021","31021"
"1691.1992","Land in orchards, total (acres)","BUTLER COUNTY"," NE","1992",-9999,"31","023","31023"
"1692.1992","Land in orchards, total (acres)","CASS COUNTY"," NE","1992",59,"31","025","31025"
"1693.1992","Land in orchards, total (acres)","CEDAR COUNTY"," NE","1992",-9999,"31","027","31027"
"1694.1992","Land in orchards, total (acres)","CHASE COUNTY"," NE","1992",-9999,"31","029","31029"
"1695.1992","Land in orchards, total (acres)","CHERRY COUNTY"," NE","1992",-9999,"31","031","31031"
"1696.1992","Land in orchards, total (acres)","CHEYENNE COUNTY"," NE","1992",-9999,"31","033","31033"
"1697.1992","Land in orchards, total (acres)","CLAY COUNTY"," NE","1992",-9999,"31","035","31035"
"1698.1992","Land in orchards, total (acres)","COLFAX COUNTY"," NE","1992",-9999,"31","037","31037"
"1699.1992","Land in orchards, total (acres)","CUMING COUNTY"," NE","1992",-9999,"31","039","31039"
"1700.1992","Land in orchards, total (acres)","CUSTER COUNTY"," NE","1992",-9999,"31","041","31041"
"1701.1992","Land in orchards, total (acres)","DAKOTA COUNTY"," NE","1992",-9999,"31","043","31043"
"1702.1992","Land in orchards, total (acres)","DAWES COUNTY"," NE","1992",-9999,"31","045","31045"
"1703.1992","Land in orchards, total (acres)","DAWSON COUNTY"," NE","1992",-9999,"31","047","31047"
"1704.1992","Land in orchards, total (acres)","DEUEL COUNTY"," NE","1992",-9999,"31","049","31049"
"1705.1992","Land in orchards, total (acres)","DIXON COUNTY"," NE","1992",-9999,"31","051","31051"
"1706.1992","Land in orchards, total (acres)","DODGE COUNTY"," NE","1992",-9999,"31","053","31053"
"1707.1992","Land in orchards, total (acres)","DOUGLAS COUNTY"," NE","1992",13,"31","055","31055"
"1708.1992","Land in orchards, total (acres)","DUNDY COUNTY"," NE","1992",-9999,"31","057","31057"
"1709.1992","Land in orchards, total (acres)","FILLMORE COUNTY"," NE","1992",-9999,"31","059","31059"
"1710.1992","Land in orchards, total (acres)","FRANKLIN COUNTY"," NE","1992",-9999,"31","061","31061"
"1711.1992","Land in orchards, total (acres)","FRONTIER COUNTY"," NE","1992",-9999,"31","063","31063"
"1712.1992","Land in orchards, total (acres)","FURNAS COUNTY"," NE","1992",-9999,"31","065","31065"
"1713.1992","Land in orchards, total (acres)","GAGE COUNTY"," NE","1992",21,"31","067","31067"
"1714.1992","Land in orchards, total (acres)","GARDEN COUNTY"," NE","1992",-9999,"31","069","31069"
"1715.1992","Land in orchards, total (acres)","GARFIELD COUNTY"," NE","1992",-9999,"31","071","31071"
"1716.1992","Land in orchards, total (acres)","GOSPER COUNTY"," NE","1992",-9999,"31","073","31073"
"1717.1992","Land in orchards, total (acres)","GRANT COUNTY"," NE","1992",-9999,"31","075","31075"
"1718.1992","Land in orchards, total (acres)","GREELEY COUNTY"," NE","1992",-9999,"31","077","31077"
"1719.1992","Land in orchards, total (acres)","HALL COUNTY"," NE","1992",-9999,"31","079","31079"
"1720.1992","Land in orchards, total (acres)","HAMILTON COUNTY"," NE","1992",2,"31","081","31081"
"1721.1992","Land in orchards, total (acres)","HARLAN COUNTY"," NE","1992",-9999,"31","083","31083"
"1722.1992","Land in orchards, total (acres)","HAYES COUNTY"," NE","1992",-9999,"31","085","31085"
"1723.1992","Land in orchards, total (acres)","HITCHCOCK COUNTY"," NE","1992",-9999,"31","087","31087"
"1724.1992","Land in orchards, total (acres)","HOLT COUNTY"," NE","1992",-9999,"31","089","31089"
"1725.1992","Land in orchards, total (acres)","HOOKER COUNTY"," NE","1992",-9999,"31","091","31091"
"1726.1992","Land in orchards, total (acres)","HOWARD COUNTY"," NE","1992",-9999,"31","093","31093"
"1727.1992","Land in orchards, total (acres)","JEFFERSON COUNTY"," NE","1992",-9999,"31","095","31095"
"1728.1992","Land in orchards, total (acres)","JOHNSON COUNTY"," NE","1992",-9999,"31","097","31097"
"1729.1992","Land in orchards, total (acres)","KEARNEY COUNTY"," NE","1992",-9999,"31","099","31099"
"1730.1992","Land in orchards, total (acres)","KEITH COUNTY"," NE","1992",-9999,"31","101","31101"
"1731.1992","Land in orchards, total (acres)","KEYA PAHA COUNTY"," NE","1992",-9999,"31","103","31103"
"1732.1992","Land in orchards, total (acres)","KIMBALL COUNTY"," NE","1992",-9999,"31","105","31105"
"1733.1992","Land in orchards, total (acres)","KNOX COUNTY"," NE","1992",-9999,"31","107","31107"
"1734.1992","Land in orchards, total (acres)","LANCASTER COUNTY"," NE","1992",57,"31","109","31109"
"1735.1992","Land in orchards, total (acres)","LINCOLN COUNTY"," NE","1992",-9999,"31","111","31111"
"1736.1992","Land in orchards, total (acres)","LOGAN COUNTY"," NE","1992",-9999,"31","113","31113"
"1737.1992","Land in orchards, total (acres)","LOUP COUNTY"," NE","1992",-9999,"31","115","31115"
"1738.1992","Land in orchards, total (acres)","MCPHERSON COUNTY"," NE","1992",-9999,"31","117","31117"
"1739.1992","Land in orchards, total (acres)","MADISON COUNTY"," NE","1992",84,"31","119","31119"
"1740.1992","Land in orchards, total (acres)","MERRICK COUNTY"," NE","1992",-9999,"31","121","31121"
"1741.1992","Land in orchards, total (acres)","MORRILL COUNTY"," NE","1992",-9999,"31","123","31123"
"1742.1992","Land in orchards, total (acres)","NANCE COUNTY"," NE","1992",-9999,"31","125","31125"
"1743.1992","Land in orchards, total (acres)","NEMAHA COUNTY"," NE","1992",-9999,"31","127","31127"
"1744.1992","Land in orchards, total (acres)","NUCKOLLS COUNTY"," NE","1992",-9999,"31","129","31129"
"1745.1992","Land in orchards, total (acres)","OTOE COUNTY"," NE","1992",226,"31","131","31131"
"1746.1992","Land in orchards, total (acres)","PAWNEE COUNTY"," NE","1992",-9999,"31","133","31133"
"1747.1992","Land in orchards, total (acres)","PERKINS COUNTY"," NE","1992",-9999,"31","135","31135"
"1748.1992","Land in orchards, total (acres)","PHELPS COUNTY"," NE","1992",-9999,"31","137","31137"
"1749.1992","Land in orchards, total (acres)","PIERCE COUNTY"," NE","1992",-9999,"31","139","31139"
"1750.1992","Land in orchards, total (acres)","PLATTE COUNTY"," NE","1992",-9999,"31","141","31141"
"1751.1992","Land in orchards, total (acres)","POLK COUNTY"," NE","1992",-9999,"31","143","31143"
"1752.1992","Land in orchards, total (acres)","RED WILLOW COUNTY"," NE","1992",-9999,"31","145","31145"
"1753.1992","Land in orchards, total (acres)","RICHARDSON COUNTY"," NE","1992",-9999,"31","147","31147"
"1754.1992","Land in orchards, total (acres)","ROCK COUNTY"," NE","1992",-9999,"31","149","31149"
"1755.1992","Land in orchards, total (acres)","SALINE COUNTY"," NE","1992",-9999,"31","151","31151"
"1756.1992","Land in orchards, total (acres)","SARPY COUNTY"," NE","1992",4,"31","153","31153"
"1757.1992","Land in orchards, total (acres)","SAUNDERS COUNTY"," NE","1992",26,"31","155","31155"
"1758.1992","Land in orchards, total (acres)","SCOTTS BLUFF COUNTY"," NE","1992",-9999,"31","157","31157"
"1759.1992","Land in orchards, total (acres)","SEWARD COUNTY"," NE","1992",-9999,"31","159","31159"
"1760.1992","Land in orchards, total (acres)","SHERIDAN COUNTY"," NE","1992",-9999,"31","161","31161"
"1761.1992","Land in orchards, total (acres)","SHERMAN COUNTY"," NE","1992",-9999,"31","163","31163"
"1762.1992","Land in orchards, total (acres)","SIOUX COUNTY"," NE","1992",-9999,"31","165","31165"
"1763.1992","Land in orchards, total (acres)","STANTON COUNTY"," NE","1992",-9999,"31","167","31167"
"1764.1992","Land in orchards, total (acres)","THAYER COUNTY"," NE","1992",-9999,"31","169","31169"
"1765.1992","Land in orchards, total (acres)","THOMAS COUNTY"," NE","1992",-9999,"31","171","31171"
"1766.1992","Land in orchards, total (acres)","THURSTON COUNTY"," NE","1992",-9999,"31","173","31173"
"1767.1992","Land in orchards, total (acres)","VALLEY COUNTY"," NE","1992",-9999,"31","175","31175"
"1768.1992","Land in orchards, total (acres)","WASHINGTON COUNTY"," NE","1992",27,"31","177","31177"
"1769.1992","Land in orchards, total (acres)","WAYNE COUNTY"," NE","1992",-9999,"31","179","31179"
"1770.1992","Land in orchards, total (acres)","WEBSTER COUNTY"," NE","1992",-9999,"31","181","31181"
"1771.1992","Land in orchards, total (acres)","WHEELER COUNTY"," NE","1992",-9999,"31","183","31183"
"1772.1992","Land in orchards, total (acres)","YORK COUNTY"," NE","1992",-9999,"31","185","31185"
"1773.1992","Land in orchards, total (acres)","ALL OTHER COUNTIES"," NE","1992",-9999,"31","998","31998"
"1775.1992","Land in orchards, total (acres)","CHURCHILL COUNTY"," NV","1992",16,"32","001","32001"
"1776.1992","Land in orchards, total (acres)","CLARK COUNTY"," NV","1992",145,"32","003","32003"
"1777.1992","Land in orchards, total (acres)","DOUGLAS COUNTY"," NV","1992",-9999,"32","005","32005"
"1778.1992","Land in orchards, total (acres)","ELKO COUNTY"," NV","1992",-9999,"32","007","32007"
"1779.1992","Land in orchards, total (acres)","ESMERALDA COUNTY"," NV","1992",-9999,"32","009","32009"
"1780.1992","Land in orchards, total (acres)","EUREKA COUNTY"," NV","1992",-9999,"32","011","32011"
"1781.1992","Land in orchards, total (acres)","HUMBOLDT COUNTY"," NV","1992",-9999,"32","013","32013"
"1782.1992","Land in orchards, total (acres)","LANDER COUNTY"," NV","1992",-9999,"32","015","32015"
"1783.1992","Land in orchards, total (acres)","LINCOLN COUNTY"," NV","1992",-9999,"32","017","32017"
"1784.1992","Land in orchards, total (acres)","LYON COUNTY"," NV","1992",9,"32","019","32019"
"1785.1992","Land in orchards, total (acres)","MINERAL COUNTY"," NV","1992",-9999,"32","021","32021"
"1786.1992","Land in orchards, total (acres)","NYE COUNTY"," NV","1992",208,"32","023","32023"
"1787.1992","Land in orchards, total (acres)","PERSHING COUNTY"," NV","1992",-9999,"32","027","32027"
"1788.1992","Land in orchards, total (acres)","STOREY COUNTY"," NV","1992",-9999,"32","029","32029"
"1789.1992","Land in orchards, total (acres)","WASHOE COUNTY"," NV","1992",15,"32","031","32031"
"1790.1992","Land in orchards, total (acres)","WHITE PINE COUNTY"," NV","1992",16,"32","033","32033"
"1791.1992","Land in orchards, total (acres)","CARSON CITY (IC)"," NV","1992",-9999,"32","510","32510"
"1792.1992","Land in orchards, total (acres)","ALL OTHER COUNTIES"," NV","1992",-9999,"32","998","32998"
"1794.1992","Land in orchards, total (acres)","BELKNAP COUNTY"," NH","1992",131,"33","001","33001"
"1795.1992","Land in orchards, total (acres)","CARROLL COUNTY"," NH","1992",98,"33","003","33003"
"1796.1992","Land in orchards, total (acres)","CHESHIRE COUNTY"," NH","1992",143,"33","005","33005"
"1797.1992","Land in orchards, total (acres)","COOS COUNTY"," NH","1992",45,"33","007","33007"
"1798.1992","Land in orchards, total (acres)","GRAFTON COUNTY"," NH","1992",165,"33","009","33009"
"1799.1992","Land in orchards, total (acres)","HILLSBOROUGH COUNTY"," NH","1992",1790,"33","011","33011"
"1800.1992","Land in orchards, total (acres)","MERRIMACK COUNTY"," NH","1992",361,"33","013","33013"
"1801.1992","Land in orchards, total (acres)","ROCKINGHAM COUNTY"," NH","1992",892,"33","015","33015"
"1802.1992","Land in orchards, total (acres)","STRAFFORD COUNTY"," NH","1992",144,"33","017","33017"
"1803.1992","Land in orchards, total (acres)","SULLIVAN COUNTY"," NH","1992",107,"33","019","33019"
"1804.1992","Land in orchards, total (acres)","ALL OTHER COUNTIES"," NH","1992",-9999,"33","998","33998"
"1806.1992","Land in orchards, total (acres)","ATLANTIC COUNTY"," NJ","1992",1769,"34","001","34001"
"1807.1992","Land in orchards, total (acres)","BERGEN COUNTY"," NJ","1992",129,"34","003","34003"
"1808.1992","Land in orchards, total (acres)","BURLINGTON COUNTY"," NJ","1992",745,"34","005","34005"
"1809.1992","Land in orchards, total (acres)","CAMDEN COUNTY"," NJ","1992",1709,"34","007","34007"
"1810.1992","Land in orchards, total (acres)","CAPE MAY COUNTY"," NJ","1992",-9999,"34","009","34009"
"1811.1992","Land in orchards, total (acres)","CUMBERLAND COUNTY"," NJ","1992",1385,"34","011","34011"
"1812.1992","Land in orchards, total (acres)","ESSEX COUNTY"," NJ","1992",-9999,"34","013","34013"
"1813.1992","Land in orchards, total (acres)","GLOUCESTER COUNTY"," NJ","1992",6911,"34","015","34015"
"1814.1992","Land in orchards, total (acres)","HUDSON COUNTY"," NJ","1992",-9999,"34","017","34017"
"1815.1992","Land in orchards, total (acres)","HUNTERDON COUNTY"," NJ","1992",800,"34","019","34019"
"1816.1992","Land in orchards, total (acres)","MERCER COUNTY"," NJ","1992",132,"34","021","34021"
"1817.1992","Land in orchards, total (acres)","MIDDLESEX COUNTY"," NJ","1992",197,"34","023","34023"
"1818.1992","Land in orchards, total (acres)","MONMOUTH COUNTY"," NJ","1992",668,"34","025","34025"
"1819.1992","Land in orchards, total (acres)","MORRIS COUNTY"," NJ","1992",247,"34","027","34027"
"1820.1992","Land in orchards, total (acres)","OCEAN COUNTY"," NJ","1992",84,"34","029","34029"
"1821.1992","Land in orchards, total (acres)","PASSAIC COUNTY"," NJ","1992",-9999,"34","031","34031"
"1822.1992","Land in orchards, total (acres)","SALEM COUNTY"," NJ","1992",-9999,"34","033","34033"
"1823.1992","Land in orchards, total (acres)","SOMERSET COUNTY"," NJ","1992",224,"34","035","34035"
"1824.1992","Land in orchards, total (acres)","SUSSEX COUNTY"," NJ","1992",467,"34","037","34037"
"1825.1992","Land in orchards, total (acres)","UNION COUNTY"," NJ","1992",-9999,"34","039","34039"
"1826.1992","Land in orchards, total (acres)","WARREN COUNTY"," NJ","1992",464,"34","041","34041"
"1827.1992","Land in orchards, total (acres)","ALL OTHER COUNTIES"," NJ","1992",-9999,"34","998","34998"
"1829.1992","Land in orchards, total (acres)","BERNALILLO COUNTY"," NM","1992",174,"35","001","35001"
"1830.1992","Land in orchards, total (acres)","CATRON COUNTY"," NM","1992",16,"35","003","35003"
"1831.1992","Land in orchards, total (acres)","CHAVES COUNTY"," NM","1992",2998,"35","005","35005"
"1832.1992","Land in orchards, total (acres)","CIBOLA COUNTY"," NM","1992",15,"35","006","35006"
"1833.1992","Land in orchards, total (acres)","COLFAX COUNTY"," NM","1992",-9999,"35","007","35007"
"1834.1992","Land in orchards, total (acres)","CURRY COUNTY"," NM","1992",103,"35","009","35009"
"1835.1992","Land in orchards, total (acres)","DE BACA COUNTY"," NM","1992",23,"35","011","35011"
"1836.1992","Land in orchards, total (acres)","DONA ANA COUNTY"," NM","1992",18065,"35","013","35013"
"1837.1992","Land in orchards, total (acres)","EDDY COUNTY"," NM","1992",1263,"35","015","35015"
"1838.1992","Land in orchards, total (acres)","GRANT COUNTY"," NM","1992",232,"35","017","35017"
"1839.1992","Land in orchards, total (acres)","GUADALUPE COUNTY"," NM","1992",39,"35","019","35019"
"1840.1992","Land in orchards, total (acres)","HARDING COUNTY"," NM","1992",-9999,"35","021","35021"
"1841.1992","Land in orchards, total (acres)","HIDALGO COUNTY"," NM","1992",41,"35","023","35023"
"1842.1992","Land in orchards, total (acres)","LEA COUNTY"," NM","1992",655,"35","025","35025"
"1843.1992","Land in orchards, total (acres)","LINCOLN COUNTY"," NM","1992",378,"35","027","35027"
"1844.1992","Land in orchards, total (acres)","LOS ALAMOS COUNTY"," NM","1992",-9999,"35","028","35028"
"1845.1992","Land in orchards, total (acres)","LUNA COUNTY"," NM","1992",1763,"35","029","35029"
"1846.1992","Land in orchards, total (acres)","MCKINLEY COUNTY"," NM","1992",-9999,"35","031","35031"
"1847.1992","Land in orchards, total (acres)","MORA COUNTY"," NM","1992",16,"35","033","35033"
"1848.1992","Land in orchards, total (acres)","OTERO COUNTY"," NM","1992",1779,"35","035","35035"
"1849.1992","Land in orchards, total (acres)","QUAY COUNTY"," NM","1992",15,"35","037","35037"
"1850.1992","Land in orchards, total (acres)","RIO ARRIBA COUNTY"," NM","1992",880,"35","039","35039"
"1851.1992","Land in orchards, total (acres)","ROOSEVELT COUNTY"," NM","1992",146,"35","041","35041"
"1852.1992","Land in orchards, total (acres)","SANDOVAL COUNTY"," NM","1992",315,"35","043","35043"
"1853.1992","Land in orchards, total (acres)","SAN JUAN COUNTY"," NM","1992",544,"35","045","35045"
"1854.1992","Land in orchards, total (acres)","SAN MIGUEL COUNTY"," NM","1992",58,"35","047","35047"
"1855.1992","Land in orchards, total (acres)","SANTA FE COUNTY"," NM","1992",108,"35","049","35049"
"1856.1992","Land in orchards, total (acres)","SIERRA COUNTY"," NM","1992",1381,"35","051","35051"
"1857.1992","Land in orchards, total (acres)","SOCORRO COUNTY"," NM","1992",362,"35","053","35053"
"1858.1992","Land in orchards, total (acres)","TAOS COUNTY"," NM","1992",53,"35","055","35055"
"1859.1992","Land in orchards, total (acres)","TORRANCE COUNTY"," NM","1992",67,"35","057","35057"
"1860.1992","Land in orchards, total (acres)","UNION COUNTY"," NM","1992",13,"35","059","35059"
"1861.1992","Land in orchards, total (acres)","VALENCIA COUNTY"," NM","1992",99,"35","061","35061"
"1862.1992","Land in orchards, total (acres)","ALL OTHER COUNTIES"," NM","1992",-9999,"35","998","35998"
"1864.1992","Land in orchards, total (acres)","ALBANY COUNTY"," NY","1992",633,"36","001","36001"
"1865.1992","Land in orchards, total (acres)","ALLEGANY COUNTY"," NY","1992",66,"36","003","36003"
"1866.1992","Land in orchards, total (acres)","BRONX COUNTY"," NY","1992",-9999,"36","005","36005"
"1867.1992","Land in orchards, total (acres)","BROOME COUNTY"," NY","1992",115,"36","007","36007"
"1868.1992","Land in orchards, total (acres)","CATTARAUGUS COUNTY"," NY","1992",575,"36","009","36009"
