StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_039,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_211,Category_212,Category_213,Category_214,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_229,Category_236,Category_237,Category_238,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
IL,17175,389580,0,0,0,304542,0,0,0,0,1,0,1,0,0,1627,0,37,18,298,0,0,0,0,0,0,0,3987,18,0,0,0,2,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,7,0,77,0,0,0,0,0,0,0,0,0,51,0,0,1643,0,27856,10534,1362,448,185,43287,0,0,152,40851,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,389580,0,0,304581,3,0,1664,298,0,0
IL,17177,749935,0,0,0,316137,2,0,0,104,1,0,0,0,0,11399,0,7,62,2683,0,0,0,0,0,0,0,40998,493,0,1,0,1,8,0,0,0,0,0,0,0,0,58,0,0,0,0,14,37,68,227,0,0,0,0,4,0,0,1,0,6,0,0,2849,0,70044,41438,10051,3275,1550,119604,195,1075,395,242082,7529,3828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749935,0,0,316144,0,0,11406,2683,0,0
IL,17179,687866,0,0,4,508435,1,0,0,113,11906,0,0,0,0,9975,0,808,102,244,0,0,0,0,0,0,0,8927,266,0,0,0,6828,4,0,0,0,0,0,0,0,0,71,10,0,0,0,20,50,0,1966,0,1,0,0,35,0,0,0,0,2,0,0,39670,0,86888,114257,38219,14380,2395,195092,51,1,54,131531,17545,2967,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12678,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,687878,0,4,509247,4,0,10795,244,0,0
IL,17181,54888,0,200,1587,117713,0,0,0,0,0,0,0,0,0,1213,0,5872,2,9,0,0,0,0,0,0,0,168,4783,0,0,0,0,0,0,0,0,6,0,0,253,0,0,22,0,0,0,298,0,0,8221,0,69,41,0,0,0,0,3,0,25,0,0,36423,0,60277,22304,2427,320,1078,621181,2661,5,0,246669,21361,4653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54889,0,1587,123585,0,0,7086,9,0,0
IL,17183,989858,0,0,20,966418,0,0,0,0,17,0,0,0,0,10787,0,1510,0,158,0,0,0,0,0,0,0,1416,4172,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,1807,0,0,0,0,0,0,0,0,0,0,0,0,17213,0,121893,94411,13243,6669,2440,245426,2,2,169,116698,1273,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,3,989858,0,20,967931,3,0,12297,158,0,0
IL,17185,229389,0,0,1620,214600,0,0,1,0,1,0,0,0,0,2866,0,11554,0,0,0,0,0,0,0,0,0,3,370,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,953,0,0,0,0,0,0,0,0,0,0,0,0,15343,0,39223,11728,2531,566,421,88540,0,0,0,31881,3323,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,229390,0,1620,226156,3,0,14420,0,0,0
IL,17187,681171,0,0,0,513714,0,0,0,0,96,0,0,0,5,1856,0,46,40,117,2,0,0,0,0,0,0,6349,835,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,91,67,0,273,0,2,0,0,0,0,0,1,0,240,0,0,2859,0,38341,44948,9153,1673,507,142408,0,0,440,117000,289,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,21,0,0,0,6,681171,0,0,513766,6,0,1902,117,0,0
IL,17189,421621,0,0,406,394177,0,0,0,0,0,0,0,0,0,44416,0,145129,0,0,0,0,0,0,0,0,0,13878,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1452,0,0,63794,0,0,0,0,0,0,0,2,0,0,0,0,10372,0,69616,31078,8196,2721,472,241665,0,0,0,136699,36783,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,25,0,0,2,0,0,0,0,0,0,0,0,0,33,421814,0,406,539341,58,0,189711,0,0,0
IL,17191,474547,0,0,4081,654308,0,0,186,0,7,0,0,0,0,16435,0,33202,1,0,0,0,0,0,0,0,0,812,6065,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,404,24,0,37511,0,1,1,0,0,0,0,0,0,0,0,41,10154,0,107274,29906,3265,855,530,304945,0,2,0,338915,33546,1570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,557,32,0,0,0,12,0,0,0,0,0,0,0,11,0,5,474560,0,4113,687527,5,0,49670,0,0,0
IL,17193,370382,0,0,4365,517164,0,0,7,0,27,0,0,0,0,3123,0,40081,0,0,0,0,273,0,0,0,0,27,1061,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,4777,0,0,0,0,0,0,0,0,0,0,0,1,24164,0,85701,23575,3225,900,383,235062,6,0,0,116070,9751,1634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,370386,0,4365,557246,1,0,43208,0,0,0
IL,17195,1071980,0,0,0,398770,0,0,0,585,11,0,62,0,0,12312,0,55,1261,749,0,0,0,0,0,0,0,11380,165,0,1,0,403,1108,0,0,0,0,0,0,0,0,300,0,0,0,0,0,66,0,266,0,0,0,0,2,0,0,1,0,106,0,0,41378,0,69285,58517,19748,7066,1381,153683,40,0,167,135395,17812,1251,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1071980,0,0,398828,65,0,12367,749,1,0
IL,17197,478752,0,0,8,455217,2,0,0,11,80,0,0,0,0,27366,0,270,4,850,0,0,0,0,0,0,0,8783,581,0,0,0,1,77,89,0,0,0,0,0,0,0,0,0,0,0,0,56,2889,0,16691,0,0,0,0,9,16,0,0,0,0,0,0,64962,0,173662,416051,173527,69057,22899,185585,129,8242,5575,252834,77249,2436,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,478752,0,8,455525,38,0,27636,850,0,0
IL,17199,71069,0,0,3796,120196,0,0,0,0,0,0,0,0,0,1511,0,9147,6,0,0,0,0,0,0,0,0,160,3745,0,0,0,0,0,0,0,0,5,0,0,2,0,0,10,0,0,0,228,0,0,13686,0,0,1,0,0,0,0,0,0,0,0,0,70594,0,81882,61315,15933,3769,768,517896,6381,51,0,287691,6336,2636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,71070,0,3796,129349,6,0,10659,0,0,0
IL,17201,433291,0,0,0,230314,53,0,0,881,24,0,0,0,0,17081,0,2,55,1270,0,0,0,0,0,0,0,14497,920,0,0,0,2,15,0,0,0,0,0,0,0,0,93,0,0,0,0,1,209,32,332,0,0,0,0,458,0,0,0,0,0,0,0,20036,0,119228,171441,72434,27082,3553,183091,1433,492,11297,144295,19415,20778,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,433292,0,0,230324,8,0,17083,1271,0,0
IL,17203,565244,0,0,4,516587,0,0,0,6,7,0,1,0,0,9411,0,37,990,516,0,0,0,0,0,0,0,7599,370,0,17,0,7,4,0,0,0,0,0,0,0,0,19,4,0,0,0,2,108,3,597,0,0,0,0,3,0,0,0,0,11,1,0,48592,0,52519,66072,11046,2343,1121,161884,1,1,27,105065,9343,1330,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,741,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,565247,0,4,516637,14,0,9451,516,0,0
IN,18001,285434,0,0,38,380176,0,0,0,0,392,0,90,0,130,27448,0,24,236,152,0,0,21,0,0,0,0,20447,1393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,15,1,0,21743,0,0,0,22,0,0,0,0,0,0,0,0,4510,0,53524,16135,6019,2653,267,62581,16,2,1442,87568,1063,4106,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285985,0,38,380200,90,0,28023,152,0,0
IN,18003,358502,0,0,6,478308,1,0,6,60,8,0,0,0,11,28291,0,20,23,581,0,0,758,0,0,0,0,21656,1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,105,2,61,0,49026,0,0,0,39,0,0,0,0,0,0,0,0,26367,0,193548,178673,68761,30565,5464,198208,688,22,20055,221980,8780,7362,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358510,0,6,478328,0,0,28319,581,0,0
IN,18005,260250,0,0,0,271933,0,0,0,0,294,0,1,0,0,10098,0,23211,0,0,20,0,0,0,0,0,0,1669,3548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,14243,0,73160,29427,13056,4553,1107,372930,1697,0,233,95724,89,25,0,0,0,0,0,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260250,0,0,295144,1,0,33309,0,691,0
IN,18007,584495,0,0,6,463378,0,0,0,0,604,0,0,0,0,4910,0,3,1,0,0,0,0,0,0,0,0,7372,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,854,0,28830,30202,1830,704,518,15272,1,0,46,30031,8,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584495,0,6,463381,0,0,4913,0,0,0
IN,18009,133483,0,0,6,189917,0,0,0,5,36,0,0,0,0,6404,0,35,1,3,0,0,33,0,0,0,0,3181,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5,4,3,0,25117,0,0,0,13,0,0,0,0,0,0,0,0,1661,0,28200,6973,1735,774,149,48662,19,0,586,25928,320,2107,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133484,0,6,189952,0,0,6440,3,0,0
IN,18011,431091,0,0,16,451113,0,0,0,0,1467,0,46,0,0,11252,0,126,2,7,0,2,0,0,0,0,0,5611,7808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,12,9,0,121,0,0,0,0,0,0,0,0,0,0,0,0,3331,0,84488,29644,10884,4357,477,68888,29,0,1173,104946,632,94,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431112,0,16,451239,46,0,11399,7,0,0
IN,18013,8833,0,0,0,7849,0,0,0,0,0,0,0,0,0,280,0,77,0,0,0,0,0,0,0,0,0,755,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15301,0,16621,1131,619,115,61,810962,11236,2,492,36329,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8833,0,0,7926,0,0,357,0,0,0
IN,18015,444247,0,0,0,344075,0,0,0,11,904,0,0,0,0,16333,0,122,14,184,0,0,87,0,0,0,0,5195,590,0,0,0,0,1,0,0,0,0,0,0,0,0,0,362,0,0,43,0,98,0,985,0,0,0,0,0,0,0,0,0,0,0,0,9499,0,52688,9927,2959,1014,1342,127958,30,0,189,56889,3343,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,444248,0,0,344197,0,0,16456,184,0,0
IN,18017,470705,0,0,1,336675,0,0,0,5,208,0,0,0,0,13037,0,52,5,10,0,0,34,0,0,0,0,21747,439,0,0,0,0,0,0,0,0,0,3,0,0,0,0,980,0,0,159,0,23,0,1039,0,0,0,0,0,0,0,0,0,0,0,0,8583,0,71664,18819,7142,2606,2128,150973,280,0,1440,83647,983,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,470708,0,2,336727,0,0,13093,10,0,0
IN,18019,56675,0,0,0,121757,3,0,2,6,10,0,5,0,0,2484,0,8945,0,32,0,0,52,0,0,0,0,2837,5731,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,327,0,132,0,0,0,0,0,0,0,0,0,0,0,0,8945,0,81516,37669,20644,10908,9216,532253,6110,7,387,174852,269,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,33,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,56708,0,0,130710,13,0,11462,32,0,0
IN,18021,249316,0,0,665,277302,0,0,0,0,3,0,0,0,0,862,0,1131,1,0,0,0,0,0,0,0,0,1354,4498,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,1,9,0,676,0,0,0,0,0,0,0,0,0,0,0,0,11078,0,52747,14371,3060,1173,746,340404,8464,12,38,68400,5,799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249317,0,665,278433,0,0,1994,0,0,0
IN,18023,490994,0,0,9,464720,0,0,0,2,172,0,0,0,0,9445,0,405,12,0,0,3,32,0,0,0,0,5086,1317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,27,0,41,0,87,0,0,0,0,0,0,0,0,0,0,0,0,1233,0,62181,15008,5758,2156,234,63975,14,1,300,41434,1459,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490995,0,9,465125,0,0,9851,0,0,0
IN,18025,17201,0,0,0,14715,0,0,0,0,106,0,0,0,0,307,0,153,0,4,0,0,0,0,0,0,0,76,4296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,8679,0,36919,4072,1339,274,4428,662261,11425,15,739,121329,321,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17201,0,0,14868,0,0,460,4,0,0
IN,18027,399095,0,0,822,281583,0,0,0,106,21727,0,0,0,0,5151,0,8009,44,1,0,8,0,0,0,0,0,3603,7244,0,0,0,0,200,0,0,0,0,462,0,0,0,0,0,0,0,8,7,27,0,704,0,0,0,0,0,0,0,0,0,0,0,0,22716,0,69014,11007,6826,2056,3142,246110,816,0,22,165974,239,654,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,399103,0,822,289592,0,0,13168,1,26,0
IN,18029,28242,0,0,0,41234,0,0,0,0,610,0,0,0,0,1085,0,185,0,0,0,0,0,0,0,0,0,729,4961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,4,0,8,0,0,0,7,0,0,0,0,0,0,0,0,8106,0,56374,13954,7017,2858,348,508517,16890,14,4905,187628,237,58,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28246,0,0,41419,0,0,1274,0,0,0
IN,18031,341828,0,0,0,336231,0,0,0,0,1008,0,414,0,0,12398,0,7559,2,4,0,0,0,0,0,0,0,3525,3692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,0,0,335,0,0,0,1,0,0,0,0,0,0,0,0,4047,0,53091,17191,5836,2718,502,210727,123,0,252,72550,56,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,341981,0,0,343992,616,0,20110,4,2,0
IN,18033,188819,0,0,5,301621,0,0,0,3,0,0,0,0,0,42779,0,3,186,101,0,0,8,0,0,0,0,13649,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,23257,0,0,0,24,0,0,0,0,0,0,0,0,8821,0,58764,22847,9518,5257,536,142320,477,9,17379,174064,31735,4038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188839,0,5,301624,0,0,42802,101,0,0
IN,18035,313664,0,0,95,366660,0,0,0,2,4320,0,0,0,1,6935,0,15,2,189,0,0,3,0,0,0,0,5835,3569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,292,0,20824,0,0,0,0,0,0,0,0,0,0,0,0,11436,0,92629,56328,16580,7208,156,106226,125,0,91,121394,787,2726,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313679,0,95,366675,0,0,6965,189,0,0
IN,18037,233679,0,0,30,176552,0,0,0,0,2237,0,0,0,0,5930,0,12656,25,0,0,0,0,0,0,0,0,927,17350,0,0,0,0,33,0,0,0,0,5,0,0,0,0,0,0,0,0,17,48,0,613,0,0,0,0,0,0,0,0,0,0,0,0,17485,0,73435,15400,7799,3628,1096,507754,2889,8,237,172326,29,228,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,233697,0,30,189239,31,0,18604,0,2,0
IN,18039,308627,0,0,0,202242,92,0,0,91,34,0,0,0,0,10567,0,18,122,252,0,0,41,0,0,0,0,51316,2416,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,517,31,59,0,1259,0,0,1,2,2720,0,0,0,0,0,0,0,15644,0,136709,122253,51425,34209,6204,72775,2975,55,16055,165915,137840,4028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,2,0,0,0,0,115,0,0,0,0,0,0,0,1,308637,0,0,202261,3,0,10593,252,0,0
IN,18041,141336,0,0,0,166606,0,0,0,0,32,0,0,0,0,5708,0,1080,0,0,0,0,0,0,0,0,0,3773,3976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,18,65,0,289,0,0,0,0,0,0,0,0,0,0,0,0,1881,0,32723,9635,3295,1444,105,181329,27,0,288,65375,4,80,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141337,0,0,167686,0,0,6789,0,1,0
IN,18043,10122,0,0,0,11653,0,0,0,0,683,0,22,0,0,179,0,622,0,8,0,0,6,0,0,0,0,356,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2056,0,35661,18926,10239,3831,641,236111,1206,0,43,92815,720,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10140,0,0,12276,24,0,818,8,0,0
IN,18045,386838,0,0,241,341027,0,0,0,0,330,0,0,0,0,7465,0,4429,0,6,0,0,0,0,0,0,0,12698,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,31,0,0,6475,0,0,0,0,0,0,0,0,0,0,0,0,8529,0,60179,12553,2355,801,488,223131,1,0,0,71143,5108,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386838,0,241,345456,0,0,11894,6,0,0
IN,18047,148462,0,0,0,156960,0,0,2,0,189,0,0,0,0,4477,0,422,0,0,0,0,0,0,0,0,0,5019,7058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,103,0,15,0,0,0,3,0,0,0,0,0,0,0,0,18561,0,47307,6948,1977,595,742,604860,2365,418,640,118386,8,19,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,148854,0,0,157383,1,0,5291,0,0,0
IN,18049,469073,0,0,0,276802,0,0,0,0,3545,0,0,0,0,6686,0,4,8,14,2,0,8,0,0,0,0,18598,1164,0,0,0,0,284,0,0,0,0,2,0,0,0,0,99,0,0,175,1,3,0,538,0,0,0,0,0,0,0,0,0,0,0,0,9612,0,57180,11659,3333,1160,525,117332,960,0,3811,70968,8346,6637,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,164,1,31,0,0,0,0,0,0,0,0,469240,0,0,276970,0,0,6693,14,0,0
IN,18051,458298,0,0,4807,344777,0,0,0,9,3,0,0,0,0,5004,0,63888,36,0,0,0,0,0,0,0,0,3643,4014,0,0,0,0,103,0,0,0,0,5069,0,0,0,0,0,0,0,0,28,1046,0,10600,0,4,0,0,0,0,0,0,0,0,0,0,47614,0,91819,18570,8857,5106,3139,262790,989,0,101,85414,7879,1863,0,0,0,0,0,607,0,0,0,0,0,0,0,0,0,56,28,0,0,0,0,0,169,0,19,0,0,0,0,0,0,0,0,0,0,4,0,0,458317,0,4807,408665,19,0,68892,0,607,0
IN,18053,313774,0,0,27,491659,0,0,0,10,4698,0,0,0,0,11354,0,20,3,10,0,0,29,0,0,0,0,9221,724,0,0,0,0,15,0,0,0,0,14,0,0,0,0,378,0,0,12,0,32,1,15065,0,0,4,1,0,0,0,0,0,0,0,0,6688,0,84414,38627,11076,5981,492,111406,157,0,4809,79254,347,3710,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313777,0,27,491679,0,0,11377,10,0,0
IN,18055,211291,0,0,292,232363,0,0,0,4,2232,0,0,0,0,1535,0,2064,18,0,0,213,0,0,0,0,0,1290,11674,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,1226,0,0,0,0,0,0,0,0,0,0,0,0,32411,0,68578,9556,3643,1374,1331,772437,8077,11,513,208075,41,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211291,0,292,234427,0,0,3599,0,0,0
IN,18057,258893,0,0,3,284851,0,0,0,1,555,0,0,0,0,7528,0,252,3,0,0,0,0,0,0,0,0,6670,3140,0,0,0,0,0,0,0,0,0,2,0,0,0,0,562,0,0,9,5,31,19,2332,0,0,1,0,0,0,0,0,0,0,0,0,20797,0,151300,127622,56092,15456,860,79784,31,0,791,137520,650,2380,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258898,0,3,285103,0,0,7785,0,0,0
IN,18059,289497,0,0,5,311341,0,0,0,1,11,0,0,0,0,5396,0,718,1,0,0,0,0,0,0,0,0,6553,3343,0,0,0,0,0,0,0,0,0,6,0,0,0,0,91,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,3129,0,65026,34562,11423,3474,102,61068,30,0,111,86635,27,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289497,0,5,312059,0,0,6114,0,0,0
IN,18061,94871,0,0,1,110628,0,0,0,0,12964,0,287,0,0,2389,0,6913,0,56,0,0,492,0,0,0,0,1946,12052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,37,0,29,0,0,0,1,0,0,0,0,0,0,0,0,6211,0,59636,6105,3395,944,3102,745385,19448,25,187,310651,835,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,80,0,17,0,0,0,0,0,0,0,0,0,0,0,0,65,94920,0,1,117606,369,0,9334,56,0,0
IN,18063,328011,0,0,3,305226,0,0,0,1,10,0,1,0,0,7900,0,243,0,0,0,3,0,0,0,0,0,5474,6107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736,0,0,46,1,3,0,87,0,0,0,0,0,0,0,0,0,0,0,0,4825,0,100763,66993,30333,12744,638,122457,92,0,67,183745,59,265,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328018,0,3,305469,1,0,8150,0,0,0
IN,18065,333807,0,0,21,392848,0,0,0,10,143,0,0,0,0,14001,0,276,0,15,0,0,0,0,0,0,0,11292,5063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839,0,0,4,13,12,0,3432,0,0,0,0,0,0,0,0,0,0,0,0,7989,0,72767,24215,7567,2463,139,111550,117,0,33,147141,45,464,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,1,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333808,0,21,393124,0,0,14278,15,0,0
IN,18067,272326,0,0,0,316632,0,0,0,5,69,0,0,0,0,8143,0,73,23,0,0,0,38,0,0,0,0,5636,1040,0,0,0,0,0,0,0,0,0,6,0,0,0,0,350,0,0,21,0,22,0,703,0,0,6,0,0,0,0,0,0,0,0,0,4816,0,61929,41245,15605,7323,764,53378,9,0,1530,52710,777,600,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272326,0,0,316705,0,0,8216,0,0,0
